,cond((Int)),disp((Int)),cond(Diversity),cond(PEAK),cond(Position),cond(WU),cond(Diversity:PEAK),cond(Diversity:Position),cond(Diversity:WU),cond(PEAK:Position),cond(PEAK:WU),cond(Position:WU),cond(Diversity:PEAK:Position),cond(Diversity:PEAK:WU),cond(Diversity:Position:WU),cond(PEAK:Position:WU),cond(Diversity:PEAK:Position:WU),df,logLik,AICc
70,0.641578466,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,25,-21477.17665,43004.37136
71,0.635199784,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,23,-21479.19674,43004.40882
72,0.6763146,+,+,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,21,-21481.43374,43004.88031
73,0.673280785,+,+,+,+,+,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,18,-21484.56834,43005.14618
74,0.660816301,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,NA,22,-21480.72561,43005.46528
75,0.697573324,+,NA,+,+,+,NA,NA,NA,+,NA,+,NA,NA,NA,NA,NA,17,-21486.18308,43006.37467
76,0.671519183,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,25,-21479.93211,43009.88229
77,0.676631986,+,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,22,-21485.44736,43014.90879
78,0.642711553,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,21,-21487.1622,43016.33723
79,0.660596127,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,23,-21485.49724,43017.00982
80,0.661101071,+,+,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,NA,20,-21488.56619,43017.14406
81,0.680838812,+,NA,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,NA,19,-21489.88219,43017.77494
