cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-0.019225350454376892,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5375.602765712887,-10739.184494611349,979.3395943109372,5.52663309061762e-214
-0.02612100865687093,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5375.428921133245,-10738.836805452065,979.6872834702208,4.64473447074255e-214
-0.021174438941530357,+,NA,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,6,5375.223557549105,-10738.426078283785,980.0980106385014,3.78244498498848e-214
-0.02510195102859876,+,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,7,5375.765633166937,-10737.50321022165,981.0208787006359,2.38437393990774e-214
-0.019915428405138172,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5375.619827855254,-10737.211599598284,981.312489324002,2.06087629692699e-214
-0.0198029693801014,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5375.615260827522,-10737.202465542821,981.3216233794647,2.05148567765959e-214
-0.025798997023063763,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,8,5375.7826756591,-10735.52927013554,982.9948187867467,8.88666324305351e-215
-0.02568005264236911,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,8,5375.778119465633,-10735.520157748604,983.0039311736818,8.84626598478259e-215
-0.0205012329250073,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5375.632343065187,-10735.228604947713,983.2954839745726,7.64627840848664e-215
-0.026381864118962046,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,9,5375.795187475263,-10733.545262168573,984.9788267537133,3.2954662405293e-215
-0.025192859579392782,+,+,+,+,NA,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,10,5375.847930466607,-10731.64070926613,986.8833796561557,1.27159396763362e-215
-0.21608066761931966,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5298.776912344176,-10583.525768576128,1134.998320346158,8.74173716248903e-248
-0.21996636224045954,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5299.339745299364,-10582.643409416067,1135.8806795062192,5.62335999928308e-248
-0.20898599430575246,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5298.869901792736,-10581.70372240281,1136.820366519476,3.51516281156093e-248
