"","cond((Int))","disp((Int))","cond(DC)","cond(diversity)","cond(position)","cond(smooth)","cond(DC:diversity)","cond(DC:position)","cond(DC:smooth)","cond(diversity:position)","cond(diversity:smooth)","cond(position:smooth)","cond(DC:diversity:position)","cond(DC:diversity:smooth)","cond(DC:position:smooth)","cond(diversity:position:smooth)","cond(DC:diversity:position:smooth)","df","logLik","AICc","delta","weight"
"39",2.01058656838588,"+",NA,"+","+","+",NA,NA,NA,"+","+","+",NA,NA,NA,"+",NA,22,107009.061447963,-213973.868432763,19.9789856763091,1.56953452751894e-05
"40",2.01921899938516,"+","+","+","+","+",NA,"+","+",NA,"+","+",NA,NA,NA,NA,NA,23,107009.733191628,-213973.188717259,20.6587011800148,1.11730702078919e-05
"41",2.01501447373041,"+","+","+","+","+",NA,"+","+",NA,NA,"+",NA,NA,"+",NA,NA,23,107009.722677596,-213973.167689196,20.6797292437113,1.10562115959746e-05
"42",2.0014194150865,"+","+","+","+","+",NA,NA,"+","+","+","+",NA,NA,NA,NA,NA,23,107009.468108771,-213972.658551545,21.1888668941974,8.57133571762304e-06
"43",2.00145633014362,"+","+","+","+","+","+",NA,"+",NA,"+","+",NA,NA,NA,NA,NA,23,107009.467272532,-213972.656879068,21.1905393717461,8.56417103046007e-06
"44",1.9952756436268,"+","+","+","+","+",NA,NA,NA,"+","+","+",NA,NA,NA,"+",NA,23,107009.440372751,-213972.603079507,21.2443389327673,8.33686762158569e-06
"45",2.0150417809545,"+","+","+","+","+",NA,"+","+","+","+","+",NA,NA,NA,NA,NA,24,107009.761155473,-213971.220424153,22.6269942868093,4.17602519504421e-06
"46",2.01510104915171,"+","+","+","+","+","+","+","+",NA,"+","+",NA,NA,NA,NA,NA,24,107009.759943413,-213971.218000034,22.6294184049475,4.17096667206748e-06
"47",2.01080861189466,"+","+","+","+","+",NA,"+","+","+",NA,"+",NA,NA,"+",NA,NA,24,107009.750705415,-213971.199524038,22.6478944012779,4.13261271923887e-06
"48",2.0108864673463,"+","+","+","+","+","+","+","+",NA,NA,"+",NA,NA,"+",NA,NA,24,107009.749377468,-213971.196868143,22.6505502965301,4.12712846819368e-06
"49",2.00886072350059,"+","+","+","+","+",NA,"+",NA,"+","+","+",NA,NA,NA,"+",NA,24,107009.733605028,-213971.165323263,22.6820951760456,4.06254424730181e-06
"50",1.99731539592908,"+","+","+","+","+","+",NA,"+","+","+","+",NA,NA,NA,NA,NA,24,107009.494716937,-213970.687547082,23.1598713575804,3.19926580797181e-06
"51",1.99123058128571,"+","+","+","+","+","+",NA,NA,"+","+","+",NA,NA,NA,"+",NA,24,107009.467160575,-213970.632434357,23.2149840828206,3.11230928448529e-06
"52",2.0109265279815,"+","+","+","+","+","+","+","+","+","+","+",NA,NA,NA,NA,NA,25,107009.788002324,-213969.248878327,24.598540112318,1.55828673523715e-06
"53",2.00671611359378,"+","+","+","+","+","+","+","+","+",NA,"+",NA,NA,"+",NA,NA,25,107009.777488758,-213969.227851195,24.6195672439353,1.54198940673393e-06
"54",2.00475436461938,"+","+","+","+","+","+","+",NA,"+","+","+",NA,NA,NA,"+",NA,25,107009.760509508,-213969.193892694,24.6535257449432,1.51602860350758e-06
"55",2.01309994209518,"+","+","+","+","+","+","+","+","+","+","+","+",NA,NA,NA,NA,26,107009.795509972,-213967.237634593,26.6097838462447,5.70047894719687e-07
"56",2.00887296825919,"+","+","+","+","+","+","+","+","+",NA,"+","+",NA,"+",NA,NA,26,107009.7849709,-213967.216556449,26.6308619905321,5.64071666100031e-07
"57",2.00689387197129,"+","+","+","+","+","+","+",NA,"+","+","+","+",NA,NA,"+",NA,26,107009.768064023,-213967.182742695,26.6646757447743,5.54615141161678e-07
"58",2.01343548274062,"+","+","+","+","+",NA,"+","+",NA,"+","+",NA,NA,"+",NA,NA,27,107009.753911896,-213965.12715914,28.7202592994436,1.98439180263981e-07
"59",2.00818821010643,"+","+","+","+","+","+",NA,"+",NA,"+","+",NA,"+",NA,NA,NA,27,107009.546558778,-213964.712452903,29.1349655363301,1.6127799259209e-07
"60",2.00296610910716,"+","+","+","+","+",NA,NA,"+","+","+","+",NA,NA,NA,"+",NA,27,107009.483348083,-213964.586031513,29.2613869264314,1.51399016209919e-07
"61",2.02188912938255,"+","+","+","+","+","+","+","+",NA,"+","+",NA,"+",NA,NA,NA,28,107009.839548979,-213963.270132962,30.5772854774841,7.84114190190039e-08
"62",2.00928828997571,"+","+","+","+","+",NA,"+","+","+","+","+",NA,NA,"+",NA,NA,28,107009.78186166,-213963.154758323,30.6926601163577,7.40160712046908e-08
"63",2.00930359908511,"+","+","+","+","+","+","+","+",NA,"+","+",NA,NA,"+",NA,NA,28,107009.78069212,-213963.152419244,30.6949991951697,7.39295570934347e-08
"64",2.01660816010489,"+","+","+","+","+",NA,"+","+","+","+","+",NA,NA,NA,"+",NA,28,107009.776601126,-213963.144237255,30.7031811843044,7.36277294855037e-08
"65",2.00409445078507,"+","+","+","+","+","+",NA,"+","+","+","+",NA,"+",NA,NA,NA,28,107009.574300062,-213962.739635128,31.1077833109302,6.01427348215991e-08
"66",1.99885998177351,"+","+","+","+","+","+",NA,"+","+","+","+",NA,NA,NA,"+",NA,28,107009.510185183,-213962.611405369,31.2360130705347,5.6407705469832e-08
"67",2.01770324680222,"+","+","+","+","+","+","+","+","+","+","+",NA,"+",NA,NA,NA,29,107009.867701342,-213961.297115531,32.5503029088723,2.92377549491455e-08
"68",2.00519406340809,"+","+","+","+","+","+","+","+","+","+","+",NA,NA,"+",NA,NA,29,107009.808706562,-213961.179125971,32.6682924684719,2.75627733883347e-08
"69",2.01248041714033,"+","+","+","+","+","+","+","+","+","+","+",NA,NA,NA,"+",NA,29,107009.803551024,-213961.168814894,32.6786035455007,2.74210381233155e-08
