cond((Int)),disp((Int)),cond(DC),cond(diversity),cond(position),cond(smooth),cond(DC:diversity),cond(DC:position),cond(DC:smooth),cond(diversity:position),cond(diversity:smooth),cond(position:smooth),cond(DC:diversity:position),cond(DC:diversity:smooth),cond(DC:position:smooth),cond(diversity:position:smooth),cond(DC:diversity:position:smooth),df,logLik,AICc,delta,weight
-9.307653376585524,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,14,59663.34139233568,-119298.57738943923,61.47043482627487,1.55348503799929e-14
-9.293207395559165,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,13,59661.881005065916,-119297.67069051317,62.377133752335794,9.8723354705666e-15
-9.29398054534109,+,NA,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,10,59658.68126163648,-119297.30737160587,62.7404526596365,8.23239511609503e-15
-9.295471639998189,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,NA,15,59663.49212002643,-119296.86375812515,63.184066140354844,6.59472610500632e-15
-9.30721081782464,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,15,59663.34948082192,-119296.57847971613,63.46934454937582,5.71806836591527e-15
-9.308473357557375,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,NA,15,59663.342107521225,-119296.56373311474,63.48409115076356,5.67606238015366e-15
-9.29215024430199,+,+,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,14,59661.882185941264,-119295.6589766504,64.38884761510417,3.61062005227252e-15
-9.302979947457567,+,+,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,14,59661.84316072479,-119295.58092621746,64.46689804804919,3.47242883222098e-15
-9.295049723189612,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,NA,16,59663.50021562947,-119294.86385079195,65.18397347355494,2.42617656459337e-15
-9.296303865004935,+,+,+,+,+,NA,+,+,+,NA,NA,NA,NA,NA,NA,NA,16,59663.49281138027,-119294.84904229354,65.19878197196522,2.40827888988213e-15
-9.308049346973931,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,16,59663.35019405624,-119294.56380764549,65.48401662001561,2.08818447199053e-15
-9.290753878785464,+,+,+,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,NA,NA,15,59661.99506299171,-119293.86964405571,66.17818020979757,1.47581919178105e-15
-9.302524117305046,+,+,+,+,+,+,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,15,59661.851211366564,-119293.58194080542,66.46588346008502,1.27808337788348e-15
-9.303838749793236,+,+,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,NA,15,59661.84389014331,-119293.56729835892,66.48052590659063,1.26876041353278e-15
-9.295857850952805,+,+,+,+,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,17,59663.50090763195,-119292.84812365164,67.19970061386994,8.85549447350274e-16
-9.290307949829193,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,16,59662.00311896708,-119291.86965746716,68.17816679834505,5.42927180251349e-16
-9.291580688141234,+,+,+,+,+,NA,+,NA,+,+,NA,NA,NA,NA,NA,NA,16,59661.99576554637,-119291.85495062576,68.19287363975309,5.38949451164918e-16
-9.303387044106904,+,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,16,59661.85193967986,-119291.56729889273,68.48052537278272,4.66750996488555e-16
-9.291070313627545,+,NA,+,+,+,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,13,59658.80449947721,-119291.51767933577,68.53014492974035,4.55313475509258e-16
-9.294808353018102,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,18,59663.50205274712,-119290.83228936764,69.21553489787038,3.23206408531362e-16
-9.305578980930731,+,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,NA,18,59663.46388221643,-119290.75594830625,69.2918759592576,3.11101935119541e-16
-9.291158118767218,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,17,59662.00382880916,-119289.85396600606,70.19385825944482,1.98170837440596e-16
-9.291950547961742,+,NA,+,+,+,NA,NA,NA,+,+,NA,NA,NA,NA,NA,NA,14,59658.80521254211,-119289.5050298521,70.5427944134135,1.66444412872365e-16
-9.29342770117301,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,19,59663.61453407171,-119289.03811336955,71.00971089595987,1.31789131391652e-16
-9.305104383272651,+,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,19,59663.47177864187,-119288.75260250986,71.29522175564489,1.14256706233725e-16
-9.306421929162138,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,NA,19,59663.46463932407,-119288.73832387426,71.30950039124582,1.13443896204043e-16
-9.290069542304698,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,18,59662.00499402839,-119287.83817193018,72.20965233532479,7.23295266189647e-17
-9.292944387316187,+,+,+,+,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,20,59663.62243759516,-119287.03376687164,73.01405739386973,4.83772618490995e-17
-9.294246710457704,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,20,59663.615260474726,-119287.01941263078,73.02841163473204,4.80312954211286e-17
