"","cond((Int))","disp((Int))","cond(DC)","cond(diversity)","cond(position)","cond(smooth)","cond(DC:diversity)","cond(DC:position)","cond(DC:smooth)","cond(diversity:position)","cond(diversity:smooth)","cond(position:smooth)","cond(DC:diversity:position)","cond(DC:diversity:smooth)","cond(DC:position:smooth)","cond(diversity:position:smooth)","cond(DC:diversity:position:smooth)","df","logLik","AICc","delta","weight"
"16",-1.53243538585695,"+","+",NA,"+","+",NA,"+","+",NA,NA,"+",NA,NA,NA,NA,NA,18,106489.79701174,-212943.422207352,11.0118885328411,0.00157464165172597
"17",-1.51913541977832,"+","+","+","+","+",NA,NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,18,106489.672882487,-212943.173948848,11.2601470371883,0.00139082691272932
"18",-1.53098635801801,"+","+","+","+","+","+","+",NA,"+",NA,"+","+",NA,NA,NA,NA,18,106489.659680401,-212943.147544675,11.28655121068,0.00137258577069308
"19",-1.51207757552823,"+","+","+","+","+",NA,NA,NA,NA,"+","+",NA,NA,NA,NA,NA,18,106489.478834878,-212942.78585363,11.6482422551198,0.00114551104224472
"20",-1.52515988596167,"+",NA,"+","+","+",NA,NA,NA,"+","+","+",NA,NA,NA,NA,NA,18,106489.337926343,-212942.504036559,11.930059326347,0.000994955095416896
"21",-1.52891959982506,"+","+","+","+","+",NA,"+","+",NA,NA,"+",NA,NA,NA,NA,NA,19,106489.814145134,-212941.437335494,12.9967603914265,0.000583676606447788
"22",-1.5243347265487,"+","+","+","+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,19,106489.709380675,-212941.227806577,13.2062893086695,0.000525622153231872
"23",-1.52171181289864,"+","+","+","+","+",NA,NA,"+","+",NA,"+",NA,NA,NA,NA,NA,19,106489.682593115,-212941.174231456,13.2598644288664,0.000511728931739818
"24",-1.521695594662,"+","+","+","+","+",NA,"+",NA,NA,"+","+",NA,NA,NA,NA,NA,19,106489.613356704,-212941.035758633,13.3983372520888,0.000477497365694299
"25",-1.51727853065171,"+","+","+","+","+","+",NA,NA,NA,"+","+",NA,NA,NA,NA,NA,19,106489.515223501,-212940.839492228,13.5946036572568,0.000432864800601846
"26",-1.51476208990981,"+","+","+","+","+",NA,NA,NA,"+","+","+",NA,NA,NA,NA,NA,19,106489.489613474,-212940.788272174,13.6458237112092,0.000421919869571809
"27",-1.53407829184499,"+","+","+","+","+","+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,20,106489.850157812,-212939.489207305,14.9448885800666,0.000220364496809347
"28",-1.53154146336044,"+","+","+","+","+",NA,"+","+","+",NA,"+",NA,NA,NA,NA,NA,20,106489.824108743,-212939.437109167,14.9969867187028,0.000214698326386369
"29",-1.52688147368813,"+","+","+","+","+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,NA,20,106489.718943855,-212939.226779391,15.2073164944304,0.000193266298309399
"30",-1.52684645993134,"+","+","+","+","+","+","+",NA,NA,"+","+",NA,NA,NA,NA,NA,20,106489.64937525,-212939.087642182,15.3464537034451,0.000180278056508134
"31",-1.52442253184892,"+","+","+","+","+",NA,"+",NA,"+","+","+",NA,NA,NA,NA,NA,20,106489.624387662,-212939.037667006,15.3964288793504,0.000175829157819877
